date,lat,long,district
2020-04-03,31.051221395372167,74.59087539424519,
2020-04-03,32.01508999788241,75.53901178484621,Gurdaspur
2020-04-03,32.00393914779694,75.54457553065984,Gurdaspur
2020-04-03,31.78810220565469,75.60771247432247,Hoshiarpur
2020-04-03,30.811777287683107,75.1641279069711,Moga
2020-04-03,30.22497060123387,74.8931966923327,Bathinda
2020-04-04,32.40561595706331,75.8769987173941,Pathankot
2020-04-04,31.7628088139974,75.62075553723757,Hoshiarpur
2020-04-04,30.086700060173985,74.33614510889609,Fazilka
2020-04-04,31.56214790684953,75.572383671092,Kapurthala
2020-04-05,30.8994610454284,76.20366035149024,Ludhiana
2020-04-08,31.37160435636457,75.45427688300846,Kapurthala
2020-04-08,31.37160435636457,75.47995117540165,Jalandhar
2020-04-10,32.162444402182665,75.36098278796726,Gurdaspur
2020-04-10,31.30415531194512,75.33902967438803,Kapurthala
2020-04-27,30.61280260664572,74.09227431355683,
2020-04-27,30.299744190320745,73.97477801349724,Fazilka
2020-04-27,30.879226332102565,74.73366670025486,Firozpur
2020-04-27,31.56214790684953,75.34084426739422,Amritsar
2020-04-27,29.623156502401297,75.220975535371,Mansa
2020-04-27,29.65809661746381,75.26779213599828,Mansa
2020-04-27,30.36998604673569,75.84443195334518,Sangrur
2020-04-27,29.58757713147003,75.24543691773223,Mansa
2020-04-27,30.054661764074748,75.80437264173412,Sangrur
2020-04-29,32.17087553273509,75.34405250526423,Gurdaspur
2020-04-29,30.54535356222626,74.19151319101036,Fazilka
2020-04-29,31.00737951649953,75.42415468089791,Jalandhar
2020-04-29,30.380103403398603,75.36949189962938,Barnala
2020-04-29,29.89615650968903,75.00079992471308,Bathinda
2020-04-29,30.071524025179613,75.20156335824649,Bathinda
2020-04-29,30.00407498076016,75.2458024162885,Bathinda
2020-04-29,30.862364070997696,76.34898915039246,Fatehgarh Sahib
2020-04-30,30.329516620084014,74.08217748256698,Fazilka
2020-04-30,30.03382621156012,74.45547525382842,Sri Muktsar Sahib
2020-04-30,31.44073962689451,75.5751067907521,Jalandhar
2020-04-30,30.240921388765496,75.48821079768663,Barnala
2020-05-01,31.170943449216697,75.03381985621628,Kapurthala
2020-05-01,30.84586574358574,74.90757554679051,Firozpur
2020-05-01,30.30422322842672,75.01226358026342,Bathinda
2020-05-01,30.270498706216998,75.39063338113294,Barnala
2020-05-01,30.187873626803167,75.42484915847757,Barnala
2020-05-01,30.270498706216998,75.84164464682145,Sangrur
2020-05-02,30.4795907439173,74.1413448383947,Fazilka
2020-05-02,30.541981110005292,74.26725107528341,Fazilka
2020-05-03,30.79491502657824,74.50904009931482,Firozpur
2020-05-03,30.111993451831285,75.01987756102126,Bathinda
2020-05-03,29.870863118031743,75.20345623335477,Bathinda
2020-05-03,30.04727151383743,75.8065322782893,Sangrur
2020-05-03,30.10259876350143,76.24792054634008,
2020-05-03,30.12098665775388,76.27176797521392,Patiala
2020-05-04,31.56214790684953,75.50707768543366,Kapurthala
2020-05-04,31.60458459729676,75.56555689885923,Kapurthala
2020-05-05,31.67512505625211,74.94296131148006,Amritsar
2020-05-05,30.504884135574603,74.07255041136666,Fazilka
2020-05-05,30.321085489531587,73.96250175909555,Fazilka
2020-05-05,30.55378469277869,74.17250165693046,Fazilka
2020-05-05,30.511629040016537,74.13640632616892,Fazilka
2020-05-05,30.7881701221363,74.49792473299578,Firozpur
2020-05-05,30.380103403398603,74.29836251105944,Fazilka
2020-05-05,30.853932940445265,74.68252319891334,Firozpur
2020-05-05,30.853932940445265,74.71984309967002,Firozpur
2020-05-05,30.90451972375985,74.77895605126888,Firozpur
2020-05-05,31.50481621909299,75.37173240484026,Kapurthala
2020-05-05,31.635898111997637,75.54218710550816,Kapurthala
2020-05-05,31.25305755102128,75.24203815979838,Kapurthala
2020-05-05,31.57057903740195,75.51390450221179,Kapurthala
2020-05-05,30.913700288139168,75.03879710482025,Moga
2020-05-05,31.557089228518063,75.57224314055644,Kapurthala
2020-05-05,31.26199965918296,75.36256380635126,Kapurthala
2020-05-05,30.020937241865024,74.48933396814061,Sri Muktsar Sahib
2020-05-05,30.53692243167384,74.95838897944033,Faridkot
2020-05-05,31.33787983415484,75.6582060187535,Jalandhar
2020-05-05,30.45429735226,74.96321733315895,Faridkot
2020-05-05,30.28736096732186,74.9407835834535,Bathinda
2020-05-05,30.90451972375985,75.43927757342536,Ludhiana
2020-05-05,30.386848307840555,75.40401539667431,Barnala
2020-05-05,30.35986869007277,75.45942316229113,Barnala
2020-05-05,30.179442496250733,75.78511108583943,Sangrur
2020-05-06,30.255257816372215,73.9737771682251,Fazilka
2020-05-06,32.1320923321939,75.44740719931654,Gurdaspur
2020-05-06,32.137151010525365,75.48743577273619,Gurdaspur
2020-05-06,30.33794775063645,74.22727447326595,Fazilka
2020-05-06,31.929745198935542,75.68024834355421,Hoshiarpur
2020-05-06,31.742574100671565,75.59431510955632,Hoshiarpur
2020-05-06,31.731211063458563,75.61621051330633,Hoshiarpur
2020-05-06,31.12035666590211,75.14349233601769,Jalandhar
2020-05-06,31.55371677629709,75.51014768965356,Kapurthala
2020-05-06,30.213167018460464,74.82372052625661,Bathinda
2020-05-06,30.26206757566457,75.05227516489542,Bathinda
2020-05-06,31.47952282743569,76.05128744984698,Hoshiarpur
2020-05-06,30.10018986905787,74.98752829743927,Bathinda
2020-05-06,30.128855712936144,75.02293951686335,Bathinda
2020-05-06,30.071524025179613,74.98917772594577,Bathinda
2020-05-06,30.35481001174132,75.39494373184877,Barnala
2020-05-06,30.22834305345484,75.47538801692657,Barnala
